ID,funded_amnt,term_60mon, int_rate_pct ,installment,emp_years,own_home,annual_inc,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal, revol_util_pct ,total_acc,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
60610,28000,0, 0.0649 ,858.05,10,0,92000,21.6,0, 36 ,0,42,16,0,51507, 0.6450 ,24,0,0,0,221110,0,2,0,0,27,23413,55,0,1,8752,61,79900,0,1,0,1,13819,16623,59.9,0,0,82,379,19,19,2,19,48,0,42,0,7,9,9,11,4,13,18,9,16,0,0,0,0,0.917,0.222,0,0,304003,74920,41500,42503
63612,2500,0, 0.1727 ,89.47,10,0,50000,17.6,3, 19 ,4,6,7,0,732, 0.3110 ,22,18,0,0,197169,3,3,2,4,2,196437,95,1,2,48,87,2500,6,3,5,6,28167,652,6.9,0,0,149,179,3,2,0,3,0,0,6,3,1,4,1,1,14,4,8,4,7,0,0,1,3,0.684,0,0,0,196429,197169,700,193929
5582,17600,1, 0.1989 ,465.22,0,0,44000,17.56,0, 14 ,0,0,7,0,12900, 1.0240 ,25,0,0,0,133285,0,4,0,1,13,120385,83,0,0,5998,91,12600,0,1,0,1,19041,0,102.4,0,0,112,114,25,13,0,25,0,0,0,0,3,3,3,3,21,3,4,3,7,0,0,0,0,1,1,0,0,139633,133285,12600,127033
59888,3600,0, 0.1399 ,123.03,10,0,55000,5.91,0, 17 ,1,30,7,0,2765, 0.2970 ,13,30,0,722,144904,2,2,0,1,21,4981,36,3,3,722,34,9300,3,1,4,4,20701,1506,37.2,0,0,148,128,3,3,1,4,69,4,69,2,2,4,2,5,3,4,9,4,7,0,0,0,3,0.769,0,0,0,178050,7746,2400,13734
25218,33600,0, 0.1078 ,1096.53,8,0,104000,14.01,0, 20 ,2,29,14,0,28475, 0.5180 ,31,29,0,0,42952,0,1,0,0,50,14477,,1,1,12992,52,55000,1,0,5,1,3068,8302,75,0,0,156,181,8,8,1,8,0,1,0,1,5,9,6,12,7,13,23,10,14,0,0,0,1,0.968,0.333,0,0,92909,42952,33200,37909
89102,25000,0, 0.0749 ,777.55,10,0,109000,26.02,0, 19 ,1,0,9,0,20862, 0.5430 ,19,0,0,0,305781,0,3,0,1,13,47194,58,0,1,8937,57,38400,1,0,1,2,33976,17538,54.3,0,0,142,168,13,13,3,13,0,0,0,0,3,3,5,6,7,5,9,3,9,0,0,0,0,1,0.2,0,0,373572,68056,38400,82117
95122,20000,1, 0.1399 ,465.27,10,1,70000,16.9,0, 19 ,0,33,20,0,31200, 0.4200 ,35,69,0,0,34856,2,1,0,0,43,3656,37,2,3,4367,41,74200,0,1,0,3,1835,18527,44,0,0,46,174,5,5,0,6,0,13,0,1,6,11,9,19,2,19,32,11,20,0,0,0,2,0.943,0.444,0,0,84200,34856,33100,10000
56500,28000,1, 0.1849 ,718.51,10,0,75000,31.88,0, 18 ,0,0,27,0,43413, 0.5190 ,46,0,0,0,193745,1,2,0,2,22,13889,44,2,6,7213,50,83600,1,0,0,8,7176,23476,59.9,0,0,143,158,4,4,2,10,0,16,0,0,14,20,14,18,9,24,34,20,27,0,0,0,2,1,0.5,0,0,267312,57302,58500,31758
1496,12000,0, 0.1078 ,391.62,3,0,40000,31.95,3, 12 ,0,9,16,0,11008, 0.4140 ,22,0,0,230,31915,0,2,1,1,12,20907,64,1,2,3058,54,26600,2,0,4,3,2128,10671,49.7,0,0,64,91,10,10,0,10,9,2,9,0,7,8,10,11,3,14,19,8,16,0,0,0,2,0.905,0.2,0,0,59420,31915,21200,32820
36552,11550,1, 0.1659 ,284.51,5,0,38000,21.07,0, 9 ,0,0,9,0,7179, 0.3970 ,12,0,0,0,10353,1,2,0,1,13,3174,20,2,3,2701,30,18100,4,1,2,4,1150,6924,43.7,0,0,39,59,5,5,0,5,0,0,0,0,3,4,5,5,2,7,10,5,9,0,0,0,2,1,0.6,0,0,34105,10353,12300,16005
13702,12000,1, 0.0980 ,253.79,10,0,65000,23.84,0, 17 ,0,0,18,0,9786, 0.1340 ,37,0,0,0,181540,2,6,2,3,1,65001,61,1,5,7909,42,73200,0,0,0,8,10086,41055,17.1,0,0,127,145,4,1,2,4,0,14,0,0,2,4,5,10,13,11,22,4,18,0,0,0,3,1,0,0,0,291626,74787,49500,105910
52294,16000,1, 0.1288 ,363.07,1,0,70000,26.4,0, 32 ,0,0,13,0,28705, 0.5630 ,29,0,0,0,265836,0,2,0,2,13,33702,74,1,1,8739,64,51000,0,0,1,3,24167,17922,61,0,0,147,334,9,9,2,9,0,11,0,0,4,6,5,12,6,10,21,6,13,0,0,0,1,1,0.6,0,0,309638,62407,45900,45838
65786,30000,0, 0.1577 ,1051.31,2,0,175000,18.5,0, 23 ,1,61,9,0,21831, 0.5030 ,23,0,0,0,408118,2,4,2,4,6,130740,84,0,1,12141,71,43400,4,3,3,7,51015,21569,50.3,0,0,118,220,16,6,3,16,0,0,61,0,2,2,3,7,9,4,11,2,9,0,0,0,3,0.957,0.333,0,0,447599,152571,43400,146568
84768,25000,0, 0.0532 ,752.87,1,0,150000,9.54,0, 24 ,0,0,7,0,19339, 0.4250 ,18,0,0,0,430856,1,2,0,0,28,25447,6,1,1,19339,34,45500,0,7,0,1,61551,24661,44,0,0,166,238,4,4,7,73,0,0,0,0,1,1,3,3,4,4,7,1,7,0,0,0,1,1,0,0,0,512381,44786,44000,51081
78648,18000,1, 0.1199 ,400.31,10,0,112000,8.68,0, 27 ,0,0,17,0,10711, 0.1550 ,27,0,0,0,205067,3,1,2,2,3,25416,97,2,3,7672,38,82400,0,1,1,5,17089,60336,16.7,0,0,109,265,1,1,4,1,0,10,0,0,5,6,12,12,6,15,17,6,16,0,0,0,4,1,0,0,0,309710,36127,69800,26210
20620,7200,0, 0.1727 ,257.67,9,1,20000,13.21,1, 17 ,1,23,8,0,7302, 0.3260 ,17,0,0,0,7302,2,0,1,1,12,0,,3,4,5509,33,22400,2,0,3,5,913,9831,41.8,0,0,128,152,5,5,0,5,23,0,23,0,3,4,5,10,2,8,15,4,8,0,0,0,4,0.941,0,0,0,22400,7302,16900,0
33622,16250,1, 0.1344 ,373.41,2,0,50000,34.95,0, 30 ,0,0,15,0,27336, 0.9490 ,21,0,0,0,201184,0,10,0,0,38,50801,94,0,1,9937,95,28800,1,1,1,2,13412,350,98.7,0,0,194,308,17,8,2,17,0,9,0,0,3,4,3,4,13,4,6,4,15,0,0,0,1,1,1,0,0,206555,78137,27300,53905
92382,15000,1, 0.1078 ,324.5,10,0,65000,29.28,0, 19 ,0,0,18,0,24723, 0.6980 ,32,0,0,0,224194,0,7,1,1,10,71557,81,1,2,8415,76,35400,0,1,1,3,12455,4286,84.9,0,0,172,171,12,10,1,12,0,10,0,0,6,7,7,12,14,10,17,7,18,0,0,0,2,1,0.714,0,0,256635,96280,28400,83810
46866,35000,1, 0.1288 ,794.21,7,0,106000,17.36,0, 18 ,0,0,8,0,39055, 0.7210 ,27,0,0,0,299890,0,3,0,0,35,16012,43,0,0,9701,60,54200,0,4,0,0,37486,12875,67.2,0,0,135,164,38,35,4,38,0,0,0,0,3,4,3,6,13,4,10,4,8,0,0,0,0,1,0,0,0,366974,55067,39200,36981
92608,16000,1, 0.1485 ,379.39,10,0,48000,33.18,0, 29 ,0,33,11,2,19108, 0.2960 ,19,33,0,0,31329,1,2,1,2,6,12221,91,1,4,14982,65,284700,0,0,1,6,2848,263953,17.6,0,0,131,294,11,6,2,11,76,11,76,2,6,9,6,8,6,9,11,9,11,0,0,0,2,0.789,0,0,2,298100,31329,281300,13400
42164,4200,0, 0.1399 ,143.53,2,0,32000,31.02,0, 11 ,2,50,10,0,1294, 0.1170 ,16,60,0,0,38865,2,6,2,5,1,37571,89,1,2,173,73,11100,3,3,3,7,3887,5422,3.2,0,0,73,72,6,1,0,6,0,0,0,1,2,4,2,2,8,4,7,4,10,0,0,0,3,0.875,0,0,0,53161,38865,5600,42061
5970,1400,0, 0.1288 ,47.1,3,0,64000,34.95,0, 24 ,0,0,17,0,37828, 0.6720 ,24,0,0,0,325695,1,3,1,2,2,37430,67,0,2,7386,67,56300,0,2,0,4,19159,7940,77,0,0,46,234,18,2,4,28,0,18,0,0,7,11,8,11,3,12,17,11,17,0,0,0,1,1,0.75,0,0,372109,75258,34500,55501
536,11000,0, 0.0649 ,337.09,10,0,85000,15,0, 15 ,0,0,12,0,9488, 0.2010 ,31,0,0,0,32193,0,2,0,1,17,22705,52,0,2,3906,35,47300,1,2,2,3,2927,13312,41.6,0,0,128,121,18,17,0,45,0,0,0,0,3,3,5,10,8,10,21,3,12,0,0,0,0,1,0,0,0,90996,32193,22800,43696
70934,23850,1, 0.1727 ,596.21,10,1,68046,24.71,1, 27 ,0,23,12,0,28220, 0.9130 ,33,23,0,342,525195,0,1,0,0,45,4453,44,0,0,7494,80,30900,0,0,0,0,47745,6,99.9,0,0,140,267,70,45,4,99,0,0,23,2,1,7,2,6,9,9,20,8,12,0,0,1,0,0.909,1,0,0,554242,32673,7500,10100
56768,8800,0, 0.0980 ,283.13,10,0,92000,5.18,0, 19 ,1,45,9,0,9195, 0.7660 ,24,0,0,0,105650,1,1,0,0,35,921,15,2,5,3818,56,12000,0,2,3,8,11739,445,94.8,0,0,102,169,6,6,2,9,45,6,45,0,3,5,3,11,6,6,15,5,9,0,0,0,2,0.875,1,0,0,116292,10116,8500,6000
74652,24250,1, 0.2424 ,701.01,4,0,75000,20.84,0, 13 ,0,0,18,0,24799, 0.6530 ,21,0,0,0,320098,2,1,0,1,14,13676,75,2,10,3138,61,38000,1,1,3,13,17783,9044,68.9,0,0,93,104,2,2,2,2,0,7,0,0,10,12,11,12,2,15,16,12,18,0,0,0,3,1,0.636,0,0,344960,38475,29100,18300
5960,15850,1, 0.2313 ,448.01,10,1,45000,34.85,0, 13 ,1,0,18,0,8799, 0.2130 ,24,0,0,25,45025,3,2,2,3,5,36226,84,2,2,6833,53,41300,1,0,1,5,2649,12808,35.6,0,0,90,107,2,2,0,10,0,5,0,0,2,4,4,4,7,16,17,4,18,0,0,0,4,1,0,0,0,84300,45025,19900,43000
16866,18500,1, 0.1288 ,419.8,10,0,70000,13.2,0, 18 ,1,45,9,0,15883, 0.5780 ,19,86,0,0,123863,1,2,1,2,11,12681,71,2,3,5431,63,27500,0,0,2,5,13763,11617,57.8,0,0,154,162,3,3,2,3,86,2,86,1,6,6,6,11,4,6,13,6,9,0,0,0,3,0.895,0.167,0,0,143748,28564,27500,17944
24086,10500,0, 0.1577 ,367.96,3,0,70100,8.51,0, 12 ,0,35,5,0,8280, 0.7740 ,10,35,0,0,26327,1,1,1,1,9,18047,84,2,2,5706,82,10700,2,0,6,3,5265,2420,77.4,0,0,9,88,6,6,0,6,35,4,35,2,3,3,4,7,1,4,9,3,5,0,0,0,3,0.8,0.5,0,0,32280,26327,10700,21580
19614,16000,1, 0.1797 ,406.04,0,0,109000,23.35,0, 18 ,1,0,11,0,42469, 0.8760 ,33,0,0,0,182936,2,2,2,2,3,20689,94,1,3,8897,90,48500,0,3,1,5,16631,0,100.8,0,0,149,164,3,3,1,13,0,1,0,0,3,6,3,13,10,8,22,6,11,0,0,0,3,1,1,0,0,228050,63158,15800,22000
94546,5000,0, 0.1344 ,169.54,2,0,79000,12.7,0, 9 ,0,0,3,0,9441, 1.0150 ,5,0,0,0,35653,0,1,0,1,19,26212,83,0,0,4360,87,9300,2,0,0,1,11884,0,101.4,0,0,50,36,32,19,0,36,0,19,0,0,1,2,1,1,3,2,2,2,3,0,0,0,0,1,1,0,0,41091,35653,4300,31791
29122,20000,0, 0.0917 ,637.58,10,0,180000,14.67,0, 30 ,0,49,12,0,87329, 0.8450 ,27,0,0,0,360358,0,2,0,2,18,29433,63,2,3,13048,74,94200,1,0,1,6,30030,0,102.9,0,0,142,306,10,10,4,12,0,10,0,0,4,6,4,5,7,9,16,6,12,0,0,0,2,0.963,1,0,0,388852,116762,31500,46452
57882,3600,0, 0.1148 ,118.68,0,0,85000,17.44,0, 26 ,2,0,12,1,6952, 0.2870 ,23,0,0,194,407032,0,3,1,3,9,35380,82,0,1,4288,63,24200,2,1,8,4,33919,15532,29.4,0,0,260,129,16,9,1,16,0,1,0,0,3,4,7,10,8,8,14,4,12,0,0,0,1,1,0.286,1,0,457315,42332,22000,43306
17166,10000,0, 0.0791 ,312.95,2,0,40100,10.81,0, 22 ,1,0,4,0,6664, 0.4500 ,7,0,0,1036,27354,1,1,0,0,76,20690,101,1,2,5037,78,14800,0,0,1,2,6839,6420,50.6,0,0,124,206,1,1,0,24,0,1,0,0,2,3,2,2,3,3,4,3,4,0,0,0,1,1,0,0,0,35247,27354,13000,20447
44954,20000,0, 0.1577 ,700.88,5,0,70000,22.21,0, 16 ,0,38,24,0,19077, 0.3660 ,63,38,0,264,63456,2,3,0,0,47,44379,84,6,9,2957,61,52100,0,0,3,9,2759,12279,48,0,0,131,137,2,2,1,2,0,9,0,5,8,17,9,9,39,21,23,17,24,0,0,0,6,0.921,0,0,0,104696,63456,23600,52596
4456,12000,0, 0.0532 ,361.38,4,0,53750,15.3,1, 13 ,0,19,8,0,3172, 0.1720 ,19,0,0,0,142615,0,1,0,2,17,6468,22,0,0,0,22,18400,2,6,1,3,17827,8500,0,0,0,99,60,35,9,2,37,19,11,19,0,0,3,2,3,10,5,6,3,8,0,0,0,1,0.947,0,0,0,183062,11146,8500,29053
30280,27500,1, 0.1485 ,652.06,10,0,195000,6.79,0, 19 ,0,0,14,0,34974, 0.5090 ,19,0,0,0,267500,1,1,0,1,21,10003,76,1,3,12056,55,68700,0,0,0,4,19107,23969,56.8,0,0,21,173,3,3,1,3,0,0,0,0,6,10,7,9,1,12,17,10,14,0,0,0,1,1,0.571,0,0,325100,44977,55500,13200
20716,5000,0, 0.0791 ,156.48,6,0,32000,13.73,0, 8 ,0,0,7,1,5552, 0.4110 ,10,0,0,0,11665,0,1,0,1,13,6113,75,0,4,2361,54,13500,1,1,1,5,1666,5787,42.7,0,0,13,46,16,13,0,17,0,11,0,0,4,5,4,5,1,6,9,5,7,0,0,0,0,1,0,1,0,21690,11665,10100,8190
99794,10000,1, 0.1659 ,246.33,0,0,30000,30.84,0, 20 ,2,78,19,1,6118, 0.2660 ,36,78,0,0,65214,2,14,1,3,5,59096,94,1,1,4807,76,23000,5,0,7,4,3432,15310,28.1,0,0,183,162,3,3,0,3,0,1,0,1,3,4,3,5,28,4,8,4,19,0,0,0,2,0.969,0,1,0,85929,65214,21300,62929
23700,16000,1, 0.1344 ,367.67,1,0,42000,9.6,0, 18 ,0,0,29,0,11834, 0.4480 ,48,0,0,0,83690,0,15,0,0,52,71856,118,0,1,1846,96,26400,0,0,0,1,2886,14203,40.6,0,0,164,120,16,16,0,16,0,0,0,0,7,8,13,20,25,14,23,8,29,0,0,0,0,0.979,0.308,0,0,87509,83690,23900,61109
70988,15000,0, 0.0532 ,451.73,0,0,80000,20.18,0, 27 ,1,35,30,0,41593, 0.2140 ,47,0,0,0,330562,1,1,0,0,54,55536,,2,6,2491,21,194800,1,1,3,6,13773,114609,4.2,0,0,141,272,2,2,2,2,0,1,35,0,7,12,12,19,6,28,39,12,30,0,0,0,2,0.979,0,0,0,537200,97129,119600,94400
20460,15000,0, 0.1078 ,489.52,1,0,40000,10.17,0, 14 ,0,0,7,0,12272, 0.7530 ,9,0,0,0,12272,2,0,0,0,,0,,2,2,4917,75,16300,0,0,0,2,2045,347,96.6,0,0,,110,3,3,0,3,0,21,0,0,4,6,4,4,0,7,9,6,7,0,0,0,2,1,1,0,0,16300,12272,10300,0
44194,20000,1, 0.1078 ,432.66,10,0,63000,10.78,0, 20 ,0,0,6,0,7869, 0.5620 ,18,0,0,0,189699,0,1,0,4,19,10827,73,0,2,2081,65,14000,2,5,1,6,31617,2737,55.9,0,0,125,184,14,14,5,101,0,10,0,0,2,3,2,4,6,4,7,3,6,0,0,0,0,1,0.5,0,0,218418,18696,6200,14877
80350,15000,0, 0.0980 ,482.61,3,0,92000,13.89,0, 19 ,1,0,7,2,12703, 0.3520 ,31,0,0,0,312996,0,2,2,2,8,40694,70,1,1,7045,42,36100,0,3,2,5,44714,23397,35.2,0,0,159,169,12,8,6,12,0,4,0,0,3,3,4,9,15,4,10,3,7,0,0,0,4,1,0,1,0,347470,53397,36100,47370
2,29900,1, 0.1288 ,678.49,10,0,65000,21.77,0, 16 ,0,0,15,0,31682, 0.4670 ,31,0,0,0,220251,2,1,1,2,9,10815,69,3,5,12971,51,67800,0,4,1,7,15732,18383,45.9,0,0,114,139,5,5,2,5,0,9,0,0,2,5,4,9,8,13,21,5,15,0,0,0,4,1,0.25,0,0,271700,42497,34000,15574
63770,16000,0, 0.1288 ,538.18,10,0,65000,18.96,0, 35 ,0,33,7,1,5157, 0.5430 ,20,55,0,1830,39781,2,2,0,0,27,34624,68,2,2,739,64,9500,0,5,0,2,5683,3684,21.6,0,0,256,360,1,1,0,1,33,14,33,1,3,5,3,3,12,5,7,5,7,0,0,0,2,0.8,0,0,1,80999,39781,4700,71499
80718,6000,0, 0.0791 ,187.77,10,0,105000,14.45,0, 14 ,1,0,9,3,8353, 0.6530 ,11,0,0,0,182893,0,3,0,1,19,32262,60,0,2,1503,61,12800,3,0,1,3,20321,2953,51.6,0,0,103,115,19,19,1,83,0,6,0,0,3,5,3,3,5,5,5,5,9,0,0,0,0,1,0,0,3,225933,40615,6100,54068
45868,17925,1, 0.1727 ,448.09,10,1,39000,27.78,0, 18 ,1,0,10,0,19614, 0.7600 ,21,0,0,0,102008,0,2,0,1,23,19930,76,0,3,5426,76,25800,1,6,1,4,10201,2618,78.9,0,0,136,156,21,21,4,21,0,6,0,0,2,5,3,5,5,7,12,7,10,0,0,0,0,1,0.667,0,0,122214,39544,12400,26199
84554,28000,1, 0.1485 ,663.92,2,0,85000,28.52,0, 21 ,0,0,19,0,36814, 0.7180 ,29,0,0,150,256638,0,2,0,1,16,20515,69,1,3,14170,71,51300,0,0,0,4,14258,3764,84.9,0,0,150,193,11,11,2,11,0,19,0,0,5,15,6,11,5,16,22,15,19,0,0,0,1,1,0.6,0,0,280650,57329,25000,29709
68114,21000,1, 0.1344 ,482.56,2,0,54649,12.14,0, 21 ,0,0,9,1,1581, 0.2680 ,44,0,0,0,51489,0,7,0,2,14,49908,97,0,1,1097,89,5900,1,3,1,3,5721,4319,26.8,0,0,186,194,17,14,2,17,0,0,0,0,2,2,2,14,25,2,17,2,9,0,0,0,0,1,0.5,1,0,57564,51489,5900,51664
67718,9600,0, 0.0749 ,298.58,8,0,60000,22.44,0, 24 ,0,0,7,0,7722, 0.5940 ,9,0,0,0,55387,0,3,0,0,47,47665,43,2,2,4744,50,13000,0,0,2,2,7912,4778,61.8,0,0,234,91,9,9,0,11,0,9,0,0,3,3,3,3,5,4,4,3,7,0,0,0,2,1,0.667,0,0,88635,55387,12500,75635
44392,23100,1, 0.2050 ,618.46,2,1,110000,20.43,0, 34 ,0,47,11,0,20594, 0.9490 ,24,47,0,1105,55048,1,3,0,0,25,34454,43,3,5,4871,54,21700,3,0,9,5,5505,1106,94.9,0,0,159,352,3,3,2,3,47,0,47,1,5,5,8,11,10,8,12,6,11,0,0,0,3,0.875,0.857,0,0,102524,55048,21700,80824
79840,35000,1, 0.1199 ,778.38,10,0,128000,6.46,0, 30 ,0,46,17,0,14277, 0.2740 ,46,56,0,321,146867,1,11,0,0,28,35367,49,0,1,5020,40,52200,1,4,0,3,8639,17248,35.6,0,0,206,310,19,3,5,99,46,15,46,1,3,4,3,6,26,5,11,4,17,0,0,0,1,0.913,0.333,0,0,220950,49644,26800,71700
90306,16800,1, 0.1288 ,381.23,10,0,118000,34.29,0, 23 ,0,35,11,1,7849, 0.2410 ,46,67,0,0,314793,0,4,0,4,13,67959,67,1,1,4746,53,32600,2,8,1,6,28618,4751,62.3,0,0,126,222,11,11,4,11,66,11,66,12,3,3,4,22,12,5,28,3,11,0,0,0,1,0.644,0.25,0,0,412771,75808,12600,115941
21288,5000,0, 0.0980 ,160.87,6,1,72000,6.52,0, 18 ,0,0,11,1,4838, 0.5630 ,20,0,0,0,142064,0,6,0,0,62,15913,68,1,2,0,65,8600,0,3,1,3,12915,,,0,0,167,43,7,7,2,,0,12,0,0,0,3,0,0,14,4,4,3,11,0,0,0,2,1,0,1,0,155131,20751,0,23281
63056,12000,0, 0.0917 ,382.55,4,0,39400,26.32,0, 14 ,1,68,18,0,10495, 0.3460 ,25,0,0,0,153211,0,2,0,1,18,21661,68,1,2,2688,52,30300,0,0,3,3,10214,8209,49.6,0,0,110,111,12,12,2,40,0,3,68,0,4,5,5,6,4,15,19,6,18,0,0,0,1,0.96,0.4,0,0,191950,32156,16300,32022
88858,15700,1, 0.1659 ,386.74,6,0,48000,29.13,0, 15 ,0,66,19,0,15458, 0.6490 ,28,72,0,0,270017,2,9,1,3,6,68316,101,2,2,5268,88,23800,0,2,1,5,14211,1516,87.7,0,0,112,121,4,4,1,4,66,10,66,1,3,6,4,5,13,9,14,7,19,0,0,0,3,0.964,0.75,0,0,305962,83774,12300,81126
55110,17475,0, 0.1399 ,597.17,2,0,39750,23.58,0, 18 ,0,27,7,0,10987, 0.5230 ,13,0,0,0,32365,0,3,0,1,18,21378,73,1,2,9131,64,21000,1,0,3,3,5394,10013,52.3,0,0,106,163,11,11,0,11,30,11,27,0,2,2,4,5,6,4,7,2,7,0,0,0,1,0.846,0,0,0,50240,32365,21000,29240
90506,20000,0, 0.0532 ,602.3,9,1,65000,18.83,0, 29 ,1,0,12,0,2269, 0.0300 ,17,0,0,0,15444,0,2,0,1,15,13175,44,0,1,1448,15,76200,2,0,1,2,1287,73931,3,0,0,63,295,19,15,0,19,0,4,0,0,3,3,10,11,4,10,13,3,12,0,0,0,0,1,0,0,0,106217,15444,76200,30017
