ID,funded_amnt,term_60mon, int_rate_pct ,installment,emp_years,own_home,annual_inc,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal, revol_util_pct ,total_acc,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
82548,4600,0, 0.1797 ,166.24,0,0,15396,2.96,0, 30 ,2,0,6,0,90, 0.0030 ,13,0,0,0,90,1,0,0,0,34,0,,1,1,0,0,32200,2,0,3,1,18,29700,0,0,0,129,302,6,6,0,102,0,0,0,0,0,1,4,6,2,6,11,1,6,0,0,0,1,1,0,0,0,32200,90,29700,0
59144,30000,0, 0.1344 ,1017.19,4,0,104000,16.04,2, 40 ,1,8,7,0,19668, 0.8060 ,27,0,0,0,46956,1,1,0,0,36,14889,55,2,2,12077,71,24400,0,4,3,4,6708,2,100,0,0,127,222,4,4,3,8,8,0,8,0,3,4,3,6,10,5,11,4,7,0,0,0,2,0.926,1,0,0,65999,46956,19400,27285
4674,14000,0, 0.1399 ,478.42,10,0,43000,29.53,2, 16 ,0,10,15,0,1366, 0.1260 ,20,23,0,483,26517,2,4,2,4,1,25151,75,2,3,457,60,10800,1,1,2,7,1894,7147,11.8,0,0,46,134,1,1,0,1,12,5,12,0,4,7,7,8,7,11,13,7,15,0,0,1,4,1,0.167,0,0,44332,26517,8100,33532
50720,9700,0, 0.1797 ,350.54,7,0,40000,20.97,0, 18 ,3,0,25,1,8844, 0.3980 ,39,0,0,0,9098,2,0,0,0,37,254,3,3,13,2473,29,22200,1,0,6,13,396,2547,65.6,0,0,107,163,4,4,0,16,0,1,0,0,3,13,5,8,3,24,36,14,25,0,0,0,3,1,0.4,1,0,31345,9098,7400,9145
21740,25000,0, 0.0649 ,766.12,2,1,80000,11.99,0, 23 ,0,0,19,0,62041, 0.4810 ,31,0,0,0,62041,2,0,0,0,123,0,,3,8,12242,48,129100,1,0,0,8,3447,52903,39.2,0,0,123,226,1,1,1,1,0,18,0,0,8,11,12,20,1,19,29,11,19,0,0,0,3,1,0.333,0,0,129100,62041,87000,0
50832,32000,0, 0.1485 ,1106.95,7,0,80000,12.8,0, 20 ,2,0,13,1,10343, 0.3020 ,22,0,0,0,33597,1,2,1,2,4,22606,74,3,4,5012,44,34200,2,3,2,6,2584,23857,30.2,0,0,189,77,7,4,0,7,0,3,0,0,5,5,9,12,8,9,12,5,13,0,0,0,4,1,0.222,1,0,75717,33597,34200,30576
55530,32000,1, 0.1399 ,744.42,10,0,120000,14.91,2, 21 ,0,10,17,0,18590, 0.4590 ,24,0,0,0,47126,1,4,0,0,26,28536,60,2,2,8590,53,40500,1,0,3,2,3142,13231,56.6,0,0,174,194,2,2,0,2,0,1,10,0,5,7,6,6,9,13,15,7,17,0,0,0,2,0.833,0.333,0,0,88272,47126,30500,47772
76212,24000,0, 0.0699 ,740.95,8,0,90000,24.48,0, 29 ,0,0,11,0,17028, 0.3060 ,35,0,0,0,417447,0,3,0,1,13,52565,24,1,1,15475,28,55600,0,4,1,3,37950,23472,42,0,0,133,290,12,8,2,12,0,8,0,0,2,2,4,10,15,7,18,2,11,0,0,0,2,1,0,0,0,490921,69593,40500,83321
75680,10000,0, 0.1148 ,329.67,4,0,85000,22.91,0, 20 ,0,0,12,0,13373, 0.5970 ,17,0,0,549,61449,2,2,1,3,5,48076,77,1,1,4938,72,22400,1,0,2,4,5121,3593,73.8,0,0,181,113,5,5,0,35,0,5,0,0,4,8,4,4,7,9,10,8,12,0,0,0,2,1,0.25,0,0,85236,61449,13700,62836
82234,20000,1, 0.1199 ,444.79,2,0,71000,20.86,0, 17 ,2,0,14,0,14147, 0.8420 ,35,0,0,0,215715,4,3,0,4,13,34808,79,2,4,4906,81,16800,8,1,5,10,19610,2524,84.7,0,0,109,148,3,3,1,6,0,3,0,0,4,5,5,16,7,9,25,5,14,0,0,0,4,1,0.8,0,0,230666,48955,16500,43902
67128,20000,0, 0.0849 ,631.26,1,0,175000,17.51,0, 24 ,1,55,10,0,70025, 0.9420 ,24,0,0,0,89144,0,2,1,1,10,19119,69,0,0,17791,87,74300,1,0,3,1,9905,2994,95.8,0,0,127,231,121,10,2,121,0,6,0,0,6,7,7,8,11,8,11,7,10,0,0,0,1,1,1,0,0,101972,89144,70700,27672
33258,3750,0, 0.1659 ,132.94,0,0,30000,18.88,0, 11 ,1,0,7,0,1174, 0.1540 ,16,0,0,0,12049,2,2,2,3,3,10875,94,3,3,626,63,7600,1,0,4,6,1721,74,89.4,0,0,74,36,4,3,0,31,0,1,0,0,1,3,1,1,11,5,5,3,7,0,0,0,5,1,1,0,0,19210,12049,700,11610
27448,12000,0, 0.1078 ,391.62,1,0,136000,15.11,1, 23 ,3,19,17,0,2450, 0.3270 ,43,28,0,10996,37599,2,9,3,5,11,35149,66,2,4,1010,62,7500,1,2,5,9,2212,1187,60.4,0,0,151,219,0,0,1,37,28,0,28,5,3,5,3,8,17,8,25,5,17,0,0,0,5,0.837,0,0,0,60883,37599,3000,53383
73702,12000,0, 0.1288 ,403.64,5,0,75000,23.14,0, 17 ,1,40,12,0,21349, 0.6100 ,20,0,0,0,41284,3,2,0,2,15,19935,57,3,3,8858,59,35000,1,0,1,5,3440,12913,57.4,0,0,148,139,0,0,0,0,40,0,40,0,5,7,6,8,5,10,15,9,12,0,0,0,3,0.95,0.5,0,0,70063,41284,30300,35063
30744,20625,1, 0.1899 ,534.92,3,0,110000,19.29,0, 23 ,0,39,5,2,2024, 0.6750 ,23,0,0,23604,63860,1,2,1,1,5,61836,101,0,3,1452,96,3000,6,2,4,6,12772,646,74.2,0,0,219,189,15,5,3,34,39,3,39,0,2,3,2,8,8,3,12,3,5,0,0,0,2,0.913,0.5,2,0,89114,63860,2500,86114
